normalize,networkarch,act,n_layers,hidden_nodes,correct_functional,lr,weight_decay,Test error

True,1,sin,4,16,True,0.0004752596219812555,0.00013896397361524792,0.10428194981068373

True,0,tanh,4,71,False,0.0023700618824404112,0.00017237524486703193,0.0014694802594021894

True,2,tanh,4,73,True,0.0234730440636661,0.0004458742110801978,0.10428196284919977

True,1,swish,2,78,False,0.002368071094103124,0.00043644288284567893,0.01255912019405514

True,1,sigmoid,2,10,False,0.010181669524174016,0.00022577993374523676,0.015272696677129716

False,1,sin,1,40,False,0.05781385231782527,0.0004358901442197898,0.00865473601152189

True,1,sin,3,31,True,0.012486047002570052,0.0001401318316197387,0.10428194236010313

True,0,tanh,1,36,True,0.00015792214838546823,0.0001888692264782631,0.10428194049745798

False,2,sigmoid,1,34,True,0.0005834685419218985,0.00023342330088937986,0.044756985269486904

False,2,sin,2,62,True,0.0018528076790092695,8.871804463613393e-05,0.001672325233812444

False,0,tanh,3,100,False,0.005395107406303695,0.00031950417349271485,0.0029033098398940638

False,0,swish,3,63,False,0.002268517382194724,2.2847977036738224e-05,0.00010302553710062057

False,0,swish,4,85,False,0.0021435608121568484,3.4604300483520156e-06,2.498570756870322e-05

False,0,swish,3,95,False,0.001017166247719164,6.099605918366883e-06,6.974394818826113e-05

False,0,swish,4,98,False,0.0005458756753603044,3.3502870393151314e-06,6.271161873883102e-05

False,0,swish,4,87,False,0.00012931217432342193,6.158472477813383e-05,0.003920911040040664

False,0,swish,4,84,False,0.00033423939754748854,8.232036610050241e-05,0.0010374710109317675

False,0,swish,4,91,False,0.0012016983767249413,2.3419117310398656e-05,7.933295455586631e-05

False,0,swish,3,48,False,0.005103573868556482,8.881505657774814e-06,0.00010058661791845225

False,0,swish,4,80,False,0.0003187129068966773,8.97194872144676e-05,0.002028122398769483

False,2,sigmoid,3,99,False,0.0009290566679920229,0.00029612633734333243,0.15978250850457698

False,0,swish,3,91,False,0.0011378537164515943,1.627423717811083e-05,0.00012360248365439475

False,0,swish,4,94,False,0.0007657967588747008,1.2374082823379665e-06,2.2564539904124103e-05

False,0,swish,4,86,False,0.0006345374259349441,4.867949418372185e-05,0.0003632282096077688

False,0,swish,4,67,False,0.0002446258958798249,8.680897844724004e-07,0.0013069831911707297

False,0,swish,4,79,False,0.0005677988257733163,6.412321839130589e-05,0.00039058180118445307

False,0,swish,4,94,False,0.00019853923261223578,0.00011040243470449701,0.002461611249600537

False,0,swish,3,55,False,0.0015766029286919993,5.33454040929061e-05,0.0006562457710970193

False,0,sigmoid,4,100,False,0.0008119805531058073,4.4359146103928855e-05,0.024220443126978353

False,2,sin,4,88,True,0.00039426860181865456,0.00010519448576453452,0.001338434056378901

False,1,swish,2,25,False,0.00010984778218540861,0.0001446221808400228,0.05151807377114892

False,0,swish,3,93,False,0.000866411666517103,5.512058107922245e-07,5.30764737050049e-05

False,0,swish,4,94,False,0.00044148697292280476,3.4957933088533407e-07,5.246287128102267e-05

False,0,swish,4,74,False,0.001405355943421158,3.929756902516414e-05,6.55171497783158e-05

True,0,tanh,3,82,False,0.0030485997385404145,3.811153057602017e-05,0.0003444780159043148

True,0,swish,4,74,False,0.0004125341431903435,6.728025479466805e-05,0.0008266133445431478

False,1,swish,4,92,False,0.00025159605192258253,0.00011081144235697614,0.006004584138281643

True,0,tanh,2,77,True,0.0007025859981857011,3.372436464954877e-05,0.0008266621152870357

False,2,sin,3,70,False,0.0015724852250448783,1.842684576938084e-06,0.00017040040984284133

False,1,sigmoid,2,88,True,0.0008815383828796395,7.023804147073889e-05,0.030916987918317318

True,0,swish,4,95,False,0.0004648706747156068,0.0001627484341255857,0.001374059218505863

False,0,swish,4,95,False,0.0005813703829088661,6.413842618367299e-07,3.919690425391309e-05

False,0,swish,4,83,False,0.0007817862494862342,3.021707157782052e-05,0.00021086857304908335

