normalize,networkarch,act,n_layers,hidden_nodes,correct_functional,lr,weight_decay,Test error

True,2,sigmoid,1,23,False,0.0011833978396101506,0.00043538552914698116,0.03770441154483706

False,0,sigmoid,3,88,False,0.0032169450086706013,6.436373344240148e-05,0.014307941775768995

False,2,tanh,1,14,True,0.06990315640713368,0.00041419581138121456,0.01170771976467222

False,1,swish,4,67,False,0.09110605360376568,0.00038078411472034,0.05563108250498772

False,0,tanh,1,42,False,0.002723730129301311,0.00031699216897463646,0.011643511475995183

True,2,sin,2,28,False,0.00022963162421041686,0.0002508771847125317,0.008614952850621194

False,0,sigmoid,4,39,False,0.00025963590716691643,0.0003325407409226904,0.03579592925962061

False,2,sigmoid,2,15,False,0.06270510745564337,0.00016535378482646602,0.020696831750683486

True,2,tanh,1,84,True,0.00020715396640492463,0.00018882587706115002,0.08048266731202602

True,2,swish,2,10,False,0.003165298838035994,0.00019582818876719065,0.007048637082334608

True,1,swish,3,63,True,0.013300987537677849,8.689679678556124e-06,0.08048265799880028

True,2,sin,2,33,False,0.0006671336254383043,0.00024104622709572379,0.008954245306085795

True,2,sin,2,25,False,0.0001187623733818348,0.0002677222176078291,0.008603394555393606

True,2,sin,3,11,False,0.0001230736248968296,0.0004821542060852287,0.012280826573260128

True,2,swish,2,45,True,0.000628780558375514,0.00015532228118766452,0.08048265054821968

True,1,sin,2,52,False,0.006684233351444995,0.00027050220416262235,0.009161506255622953

